title,price,item_url,image_url,category
"Eco-friendly Bath Bomb Gift Set, Zero Waste Gift Set, Bombs Made with Coconut Oil, Perfect for Dry Skin",12.00,https://www.etsy.com/ca/listing/920233445/im-perfect-3d-mink-lashes-beauty-makeup?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-12&organic_search_click=1&s2llc=1,https://i.etsystatic.com/25531673/c/1562/1242/253/46/il/50d8e1/2667666392/il_340x270.2667666392_lzzy.jpg,beauty
"Beauty and the Beast Inspired Tea | The Earl grey stuff, belle, rose infused early grey tea, bookish tea, Disney, princess, Birthday gift",7.81,https://www.etsy.com/ca/listing/1032568657/be-happy-handmade-soap?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-5&s2llc=1,https://i.etsystatic.com/8443203/c/1991/1582/46/804/il/49384c/1691671557/il_340x270.1691671557_l55g.jpg,beauty
Beauty and the Beast inspired Cookie Cutters,37.99,https://www.etsy.com/ca/listing/772724132/mini-heart-bath-bombs?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-6&s2llc=1,https://i.etsystatic.com/11886724/d/il/a08366/1316813904/il_340x270.1316813904_q8mc.jpg?version=0,beauty
Organic Tomatoes Beauty Soap  |Aloe Vera gel |Skincare |Acne |Dark Spot| Glowing Skin | Natural Skin Bleaching,13.71,https://www.etsy.com/ca/listing/996538689/reusable-bamboo-silicone-q-tips-zero?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-7&s2llc=1&bes=1,https://i.etsystatic.com/24494629/c/742/589/0/440/il/4ff23a/2456656380/il_340x270.2456656380_46l3.jpg,beauty
Clay Hair Clips & Barrettes | Handmade and Trendy,6.99,https://www.etsy.com/ca/listing/1011863467/rose-gift-box-o-wedding-o-bridesmaid-o?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-8&s2llc=1,https://i.etsystatic.com/27054861/c/2999/2383/0/256/il/ea91d6/3091155846/il_340x270.3091155846_r6um.jpg,beauty
Lash Growth Serum // Castor Oil Natural Ingredients // Vegan Product // Wholesale Price,16.99,https://www.etsy.com/ca/listing/957439309/supply-matter-solid-cologne-sampler-set?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-13&organic_search_click=1&s2llc=1,https://i.etsystatic.com/24906214/d/il/9b9229/3084009131/il_340x270.3084009131_6u2s.jpg?version=0,beauty
Horror Inspired Essential Oil Roll On. Halloween. Perfume. Halloween. Crystals. Horror. Movie. Aromatherapy. Beauty. Witchy. Witch. Spooky.,13.00,https://www.etsy.com/ca/listing/837681288/watermelon-ice-pop-soap-summersoap?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-14&organic_search_click=1&s2llc=1,https://i.etsystatic.com/23935293/d/il/f1f354/2628062795/il_340x270.2628062795_ev4o.jpg?version=0,beauty
Black Beauty Poppy    -   250+ Seeds,7.30,https://www.etsy.com/ca/listing/1032322730/beauty-and-the-beast-double-layer-face?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-15&organic_search_click=1&s2llc=1,https://i.etsystatic.com/10205170/d/il/90bcb2/1603732016/il_340x270.1603732016_lszm.jpg?version=0,beauty
Lip gloss Package,13.89,https://www.etsy.com/ca/listing/864412251/mini-display-stool-wooden-riser-wooden?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-16&organic_search_click=1&s2llc=1,https://i.etsystatic.com/23800904/d/il/56da3a/2752156024/il_340x270.2752156024_gtsu.jpg?version=0,beauty
"Oatmeal Milk & Honey Shea Butter Soap, All Natural Soap, Moisturizing Soap, Vegan Soap",5.00,https://www.etsy.com/ca/listing/941303150/engraved-acrylic-keychain-floral-beauty?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-17&organic_search_click=1&s2llc=1,https://i.etsystatic.com/21549809/d/il/21dc4c/2518302000/il_340x270.2518302000_3k8e.jpg?version=0,beauty
Liquid Gold Ayurvedic Beauty Oil,12.50,https://www.etsy.com/ca/listing/793526074/100-natural-facial-cream-antioxidant?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-18&organic_search_click=1&s2llc=1,https://i.etsystatic.com/7969401/c/2351/1868/271/241/il/1ab92a/3056700564/il_340x270.3056700564_fm0o.jpg,beauty
P*S*Y Fairy Sacred Yoni Oil,8.00,https://www.etsy.com/ca/listing/954699973/brown-sugar-black-girl-magic-stickers?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-19&organic_search_click=1&s2llc=1,https://i.etsystatic.com/27426046/d/il/8778fb/3044876020/il_340x270.3044876020_k5tx.jpg?version=0,beauty
"Luxury Bridal Face Mask filtered for wedding Available 100% 3 layer Cotton, Silk Satin or 7 layer Tulle, lace, beads for brides fit comfort",15.64,https://www.etsy.com/ca/listing/876484097/cute-doggy-beauty-headband-pink-panda?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-20&organic_search_click=1&s2llc=1,https://i.etsystatic.com/17233319/c/1836/1459/0/321/il/3edf2b/3113896672/il_340x270.3113896672_bz36.jpg,beauty
"French Bulldog Watercolor - Dog Painting PRINT, Funny Bathroom Art, Animal Lover Gift, Beauty Routine",13.02,https://www.etsy.com/ca/listing/712105075/rose-bath-milkeditor-etsy-pickstress?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-21&organic_search_click=1&s2llc=1,https://i.etsystatic.com/5867750/d/il/6f916c/2210649955/il_340x270.2210649955_qnr9.jpg?version=0,beauty
Supply Matter Solid Cologne Sampler Set,21.25,https://www.etsy.com/ca/listing/933710268/acrylic-3-tier-riser-display-cosmetic?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-22&organic_search_click=1&s2llc=1,https://i.etsystatic.com/26865568/d/il/9d7733/2898583801/il_340x270.2898583801_gkii.jpg?version=0,beauty
DANGLE TRUE BEAUTY Kdrama Ear Cuffs Ear Cuff Set Seventeen Kpop Bts Earrings Aesthetic Earrings Kpop Earrings Korean Earrings Korean Jewelry,25.00,https://www.etsy.com/ca/listing/904131403/jumbo-shower-cap?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-23&organic_search_click=1&s2llc=1,https://i.etsystatic.com/21577375/c/499/396/139/347/il/5c459f/3028652704/il_340x270.3028652704_hcle.jpg,beauty
"Custom Initials Makeup Bag, Gift for Wife, Gift for her, Bridesmaid Gift, Bridal Party, Canvas Cosmetic Bag, Natural Makeup Bag",16.99,https://www.etsy.com/ca/listing/1031624799/custom-butterfly-lip-gloss-bundles?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-24&organic_search_click=1&s2llc=1,https://i.etsystatic.com/6674339/d/il/8c2710/3169491983/il_340x270.3169491983_e8fw.jpg?version=0,beauty
"9 Strawberry and champagne soaps, bulk soaps for resale or offer, Wholesale, batch of soaps",8.00,https://www.etsy.com/ca/listing/952331648/beauty-youthness-spell-6x-casting?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-9&s2llc=1,https://i.etsystatic.com/12589795/d/il/1b4b46/3047302922/il_340x270.3047302922_scn1.jpg?version=0,beauty
Bobba tea bundles,20.79,https://www.etsy.com/ca/listing/884715552/pure-organic-and-natural?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-10&s2llc=1,https://i.etsystatic.com/21193996/d/il/0550b2/2806465667/il_340x270.2806465667_g9jk.jpg?version=0,beauty
Organic 24k Gold Eternal Beauty Serum for all Skin Type 5ml,25.95,https://www.etsy.com/ca/listing/952005916/custom-salon-neon-sign-beauty-salon?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-11&s2llc=1,https://i.etsystatic.com/16870750/d/il/93ba6b/2159280871/il_340x270.2159280871_l5bf.jpg?version=0,beauty
"Super Thin Gold 3mm Turquoise Ring, Sleeping Beauty Turquoise Ring, 14k Gold Rings for Women, Gold Stacking Rings, Birthstone Ring",34.00,https://www.etsy.com/ca/listing/1003024870/hyaluron-pen-training-manual-course?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-12&s2llc=1&bes=1,https://i.etsystatic.com/17495387/c/1692/1345/434/296/il/03253b/3083608249/il_340x270.3083608249_dl85.jpg,beauty
Organic Cotton Scrunchies,12.50,https://www.etsy.com/ca/listing/681605237/18th-century-beauty-spots?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-25&organic_search_click=1&s2llc=1,https://i.etsystatic.com/6783748/d/il/6a9ed7/2912352006/il_340x270.2912352006_adzz.jpg?version=0,beauty
